id,tipo,nome,categoria_gbp,servico_gbp,preco,preco_rotulo,descricao,foto,link,colecao_wa,origem_planilha
produto-intelbras-fr101,produto,Fechadura digital sobrepor Intelbras FR 101 instalada,Chaveiro(a),,499,promocional,"Fechadura digital Intelbras FR 101 de sobrepor, com instalação inclusa. Teclado touch de 12 teclas, até 4 senhas numéricas, travamento automático da porta, função Não Perturbe, alerta de bateria fraca e alimentação de emergência por bateria 9 V. Garantia de 2 anos de fábrica. Valor promocional, sujeito à compatibilidade da porta (25 a 50 mm) e às condições de instalação; consulte o deslocamento.",docs/catalogo/arte-intelbras-fr101-sobrepor.png,https://msiforce.com.br/instalacao-fechadura-digital,Fechaduras,"arte de campanha MSIFORCE — preco fechado impresso na arte, nao vem da tabela"
produto-papaiz-sl140b,produto,Fechadura digital sobrepor Papaiz SL140 B instalada,Chaveiro(a),,700,,"Fechadura digital Papaiz Fit Lock SL140 B (Assa Abloy) de sobrepor, com instalação inclusa. Abre por senha numérica, impressão digital ou chave de emergência, com abertura pelo painel a toque leve. Painel interno na vertical, que pode ser usado em conjunto com puxador. Produto original Papaiz, 2 anos de garantia.",docs/catalogo/arte-papaiz-sl140b-sobrepor.jpeg,https://msiforce.com.br/instalacao-fechadura-digital,Fechaduras,"arte de campanha MSIFORCE — preco fechado impresso na arte, nao vem da tabela"
produto-intelbras-mfd2020d,produto,Fechadura digital sobrepor Intelbras MFD2020 D instalada,Chaveiro(a),,750,,"Fechadura digital Intelbras MFD2020 D de sobrepor, com instalação inclusa. Até 150 biometrias, 150 senhas e 150 tags, senha temporária, senha protegida contra observação, travamento automático, modo Não Perturbe e entrada USB-C para emergência. Para portas de 25 a 70 mm, alimentação por pilhas com autonomia de 1 ano. 3 anos de garantia de fábrica. O gerenciamento remoto pelo app Mibo exige o hub de automação MCA, vendido à parte.",docs/catalogo/arte-intelbras-mfd2020d-sobrepor.png,https://msiforce.com.br/casa-inteligente,Fechaduras,"arte de campanha MSIFORCE — preco fechado impresso na arte, nao vem da tabela"
produto-papaiz-fitlock,produto,Fechadura digital embutir Papaiz Fit Lock instalada,Chaveiro(a),,800,,"Fechadura digital Papaiz Fit Lock (Assa Abloy) de embutir, com instalação inclusa. Abre por senha numérica, impressão digital ou chave de emergência, e cadastra vários usuários. Guia de uso em português, padrão ABNT, produto original Papaiz, garantia de até 2 anos. Indicada para residências, apartamentos, condomínios, escritórios e comércios.",docs/catalogo/arte-papaiz-fitlock-embutir.jpeg,https://msiforce.com.br/fechaduras/porta-pivotante,Fechaduras,"arte de campanha MSIFORCE — preco fechado impresso na arte, nao vem da tabela"
produto-intelbras-mfr3000v,produto,Fechadura digital embutir Intelbras MFR 3000 V instalada,Chaveiro(a),,850,,"Fechadura digital Intelbras MFR 3000 V de embutir, com instalação inclusa. Mais de 100 senhas e 100 biometrias, acesso por digital ou senha, senhas temporárias e gerenciamento remoto pelo aplicativo. As funções do app Mibo exigem hub compatível, vendido à parte.",docs/catalogo/arte-intelbras-mfr3000v-embutir.png,https://msiforce.com.br/fechaduras/porta-pivotante,Fechaduras,"arte de campanha MSIFORCE — preco fechado impresso na arte, nao vem da tabela"
airbnb-temporada,servico,Soluções para Airbnb e locação por temporada,Empresa de automação de casas,,,sob consulta,"Fechadura com senha por hóspede, com hora para começar e para acabar, e cartão de energia: o mesmo cartão que abre a porta liga a casa, e ela desliga sozinha quando o hóspede sai com ele. Você libera o próximo acesso e confere as entradas pelo celular. Escopo fechado na visita.",frontend/public/airbnb-hero.webp,https://msiforce.com.br/fechadura-airbnb,Airbnb e temporada,sem linha na tabela 2026 — pacote que varia com o imovel e com quantos circuitos o cartao controla
fechadura-porta-apartamento,servico,Instalação de fechadura digital — porta de apartamento,Chaveiro(a),Instalação de fechadura eletrônica,249,a partir de,"Instalação de fechadura digital de sobrepor em porta de apartamento. Menos de 1 hora, sem fresagem e sem retirar a fechadura original. Cadastramos digitais e senhas com você no fim do serviço. O equipamento é cotado à parte, conforme o modelo escolhido.",frontend/public/oferta-fr102.webp,https://msiforce.com.br/fechaduras/porta-de-apartamento,Fechaduras,plano Essencial (sobrepor) — decisão do dono em 21/09/2026
fechadura-porta-madeira,servico,Instalação de fechadura digital — porta pivotante e madeira maciça,Chaveiro(a),,299,a partir de,"Instalação de fechadura digital de embutir em porta pivotante ou de madeira maciça, substituindo a fechadura comum sem obra. Biometria, senha e chave mecânica de emergência. O equipamento é cotado à parte, conforme o modelo escolhido.",frontend/public/oferta-papaiz-fitlock.webp,https://msiforce.com.br/fechaduras/porta-pivotante,Fechaduras,plano Design (embutir) da régua do site — bot alinhado a este valor em 21/09/2026
fechadura-sobrepor,servico,Instalação de fechadura digital de sobrepor,Chaveiro(a),Troca de fechaduras,249,a partir de,"Instalação de fechadura digital de sobrepor em portas de 25 a 70 mm, com abertura por senha e tag. Inclui cadastro de usuários e teste de abertura pelos dois lados da porta. Equipamento cotado à parte.",frontend/public/oferta-fr201v.webp,https://msiforce.com.br/instalacao-fechadura-digital,Fechaduras,plano Essencial (sobrepor) — decisão do dono em 21/09/2026
fechadura-kit-automacao,servico,Instalação de fechadura digital com hub de automação,Chaveiro(a),,400,a partir de,"Instalação de fechadura digital integrada a hub de automação: abertura remota pelo aplicativo, senha temporária para visitas e compatibilidade com Alexa. Inclui a configuração do app. Equipamento cotado à parte.",frontend/public/oferta-mfd2020-hub.webp,https://msiforce.com.br/casa-inteligente,Fechaduras,"plano Conectado (app, Wi-Fi e hub) — valor confirmado pelo dono em 23/09/2026"
kit-fechadura-instalacao,servico,Kit fechadura digital + instalação,Empresa de automação de casas,Kit fechadura digital + instalação,500,a partir de,"Fechadura digital já instalada: nós compramos o modelo certo para a sua porta e instalamos, com configuração do aplicativo e cadastro de senhas e biometrias. O valor final depende do modelo escolhido.",frontend/public/fechadura_completa.webp,https://msiforce.com.br/instalacao-fechadura-digital,Fechaduras,"decisão do dono em 23/09/2026 — valor inicial do kit, igual ao do site e do Google"
instalacao-tomada,servico,Instalação de tomada,Eletricista,Instalação de tomadas e interruptores,70,a partir de,"Instalação de tomada nova, em alvenaria ou de sobrepor com canaleta, incluindo acabamento e teste de aterramento. Preço por ponto. Tomada dupla, tripla, 20 A e industrial têm valores próprios, informados na visita.",frontend/public/img_eletrica.webp,https://msiforce.com.br/servicos/eletrica,Elétrica,MSI-098 — INSTALAÇÃO DE TOMADA SIMPLES
instalacao-luminaria,servico,"Instalação de luminária, spot ou pendente",Eletricista,Instalação de luminárias,90,a partir de,"Instalação de arandela, pendente ou spot comum, com fixação adequada ao forro e teste de acionamento. Preço por ponto instalado.",frontend/public/img_eletrica.webp,https://msiforce.com.br/servicos/eletrica,Elétrica,MSI-030 — INSTALAÇÃO DE ARANDELA PENDENTE OU SPOT COMUM
instalacao-ventilador-teto,servico,Instalação de ventilador de teto,Eletricista,Instalação de ventiladores,250,a partir de,"Instalação de ventilador de teto com fixação no gancho existente, ligação do controle de velocidade e teste de balanceamento. Quando a fixação precisa ser refeita na laje, o valor é outro e sai na visita.",frontend/public/img_eletrica.webp,https://msiforce.com.br/servicos/eletrica,Elétrica,MSI-102 — INSTALAÇÃO DE VENTILADOR DE TETO
